101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.100000		0.000000		0.026277
0.101000		0.000000		0.029033
0.102000		0.000000		0.032024
0.103000		0.000000		0.035265
0.104000		0.000000		0.038772
0.105000		0.000000		0.042561
0.106000		0.000000		0.046650
0.107000		0.000000		0.051057
0.108000		0.000000		0.055800
0.109000		0.000000		0.060899
0.110000		0.000000		0.066374
0.111000		0.000000		0.072247
0.112000		0.000000		0.078537
0.113000		0.000000		0.085269
0.114000		0.000000		0.092466
0.115000		0.000000		0.100150
0.116000		0.000000		0.108348
0.117000		0.000000		0.117085
0.118000		0.000000		0.126387
0.119000		0.000000		0.136281
0.120000		0.000000		0.146797
0.121000		0.000000		0.157962
0.122000		0.000000		0.169806
0.123000		0.000000		0.182361
0.124000		0.000000		0.195658
0.125000		0.000000		0.209729
0.126000		0.000000		0.224607
0.127000		0.000000		0.240327
0.128000		0.000000		0.256923
0.129000		0.000000		0.274432
0.130000		0.000000		0.292891
0.131000		0.000000		0.312336
0.132000		0.000000		0.332808
0.133000		0.000000		0.354344
0.134000		0.000000		0.376986
0.135000		0.000000		0.400775
0.136000		0.000000		0.425753
0.137000		0.000000		0.451963
0.138000		0.000000		0.479448
0.139000		0.000000		0.508255
0.140000		0.000000		0.538428
0.141000		0.000000		0.570015
0.142000		0.000000		0.603062
0.143000		0.000000		0.637617
0.144000		0.000000		0.673731
0.145000		0.000000		0.711454
0.146000		0.000000		0.750835
0.147000		0.000000		0.791928
0.148000		0.000000		0.834784
0.149000		0.000000		0.879457
0.150000		0.000000		0.926001
0.151000		0.000000		0.974472
0.152000		0.000000		1.024925
0.153000		0.000000		1.077417
0.154000		0.000000		1.132005
0.155000		0.000000		1.188748
0.156000		0.000000		1.247705
0.157000		0.000000		1.308935
0.158000		0.000000		1.372500
0.159000		0.000000		1.438459
0.160000		0.000000		1.506876
0.161000		0.000000		1.577812
0.162000		0.000000		1.651331
0.163000		0.000000		1.727497
0.164000		0.000000		1.806375
0.165000		0.000000		1.888029
0.166000		0.000000		1.972527
0.167000		0.000000		2.059933
0.168000		0.000000		2.150316
0.169000		0.000000		2.243742
0.170000		0.000000		2.340280
0.171000		0.000000		2.439999
0.172000		0.000000		2.542968
0.173000		0.000000		2.649256
0.174000		0.000000		2.758934
0.175000		0.000000		2.872073
0.176000		0.000000		2.988743
0.177000		0.000000		3.109016
0.178000		0.000000		3.232964
0.179000		0.000000		3.360658
0.180000		0.000000		3.492173
0.181000		0.000000		3.627581
0.182000		0.000000		3.766954
0.183000		0.000000		3.910367
0.184000		0.000000		4.057894
0.185000		0.000000		4.209608
0.186000		0.000000		4.365585
0.187000		0.000000		4.525898
0.188000		0.000000		4.690622
0.189000		0.000000		4.859833
0.190000		0.000000		5.033606
0.191000		0.000000		5.212016
0.192000		0.000000		5.395137
0.193000		0.000000		5.583047
0.194000		0.000000		5.775819
0.195000		0.000000		5.973531
0.196000		0.000000		6.176257
0.197000		0.000000		6.384074
0.198000		0.000000		6.597056
0.199000		0.000000		6.815280
0.200000		0.000000		7.038822
0.100000		0.010000		0.026402
0.101000		0.010000		0.029168
0.102000		0.010000		0.032170
0.103000		0.010000		0.035422
0.104000		0.010000		0.038940
0.105000		0.010000		0.042742
0.106000		0.010000		0.046844
0.107000		0.010000		0.051264
0.108000		0.010000		0.056021
0.109000		0.010000		0.061135
0.110000		0.010000		0.066625
0.111000		0.010000		0.072513
0.112000		0.010000		0.078820
0.113000		0.010000		0.085569
0.114000		0.010000		0.092783
0.115000		0.010000		0.100486
0.116000		0.010000		0.108703
0.117000		0.010000		0.117459
0.118000		0.010000		0.126781
0.119000		0.010000		0.136697
0.120000		0.010000		0.147234
0.121000		0.010000		0.158421
0.122000		0.010000		0.170288
0.123000		0.010000		0.182866
0.124000		0.010000		0.196187
0.125000		0.010000		0.210282
0.126000		0.010000		0.225185
0.127000		0.010000		0.240930
0.128000		0.010000		0.257553
0.129000		0.010000		0.275088
0.130000		0.010000		0.293574
0.131000		0.010000		0.313047
0.132000		0.010000		0.333546
0.133000		0.010000		0.355111
0.134000		0.010000		0.377782
0.135000		0.010000		0.401600
0.136000		0.010000		0.426608
0.137000		0.010000		0.452847
0.138000		0.010000		0.480364
0.139000		0.010000		0.509201
0.140000		0.010000		0.539405
0.141000		0.010000		0.571022
0.142000		0.010000		0.604101
0.143000		0.010000		0.638688
0.144000		0.010000		0.674834
0.145000		0.010000		0.712589
0.146000		0.010000		0.752003
0.147000		0.010000		0.793127
0.148000		0.010000		0.836016
0.149000		0.010000		0.880721
0.150000		0.010000		0.927298
0.151000		0.010000		0.975802
0.152000		0.010000		1.026287
